,accuracy,balanced_accuracy,cluster_accuracy,macroF1_score,medianF1_score,medianPrecision_score,medianRecall_score,mathews_corr_coef_score,adjusted_rand_score,cohens_kappa_score,num_clust
leiden_0.1,0.9673433362753752,0.9641744554782136,1.0,0.9627977030408086,0.9626667296764057,0.9640461850030246,0.9775828460038987,0.9497966656444183,0.9151353109017887,0.949562350733025,4.0
leiden_0.2,0.8830146231721034,0.9177708740730411,1.0,0.9005508002361134,0.8920863309352518,0.9019607843137255,0.924901185770751,0.8407714199080011,0.6897271235905023,0.840270270387002,5.0
leiden_0.3,0.8841394825646794,0.9191294611424888,1.0,0.9010097876051955,0.8920863309352518,0.8993055555555556,0.924901185770751,0.8432240604126583,0.6933220789410358,0.8419867150253435,5.0
leiden_0.4,0.8685897435897436,0.8964981099949747,1.0,0.8731394535633764,0.8671645818223475,0.8755819155331255,0.8894128829421657,0.8269114832760754,0.6839002758116046,0.826353530474444,7.0
leiden_0.5,0.8643162393162394,0.8943470138016824,1.0,0.8702200007562659,0.8615922460114993,0.8736293840393923,0.8868355633545368,0.8214215577735275,0.6735891965046383,0.82079872645168,8.0
leiden_0.6,0.8659188034188035,0.895206120330892,1.0,0.8710423720156122,0.8640593597895381,0.8757694262480236,0.8894128829421657,0.8235749624495592,0.6778661742539013,0.8229278897844143,8.0
leiden_0.7,0.8664529914529915,0.8954645182637084,1.0,0.8707308261797784,0.865285253854333,0.8758747542231338,0.8894128829421657,0.8243065354565748,0.6798970888427545,0.8236606688686475,8.0
leiden_0.8,0.8653846153846154,0.8949477223980754,1.0,0.8704084793886717,0.8632612751925708,0.8749470578269709,0.8894128829421657,0.8228641732852644,0.676750635262389,0.8222279166957148,9.0
leiden_0.9,0.8178418803418803,0.8725936373132304,0.9,0.8441036624616864,0.8310414688192466,0.8460277002080328,0.9091723331139869,0.7682352968783561,0.5668692725045312,0.7603238574540605,10.0
leiden_1.0,0.8173076923076923,0.8723352393804138,0.9,0.8438108888787293,0.8307269178820975,0.8460277002080328,0.9091723331139869,0.7676239593716379,0.5658114850792827,0.7596266806635137,10.0
leiden_1.1,0.813034188034188,0.8716708239894416,0.9090909090909091,0.8406534318966005,0.8273406535055281,0.8442619891770853,0.9110550559333187,0.7626023611868632,0.5574542929202626,0.7542563497841304,11.0
leiden_1.2,0.813034188034188,0.8716708239894416,0.9090909090909091,0.8406534318966005,0.8273406535055281,0.8442619891770853,0.9110550559333187,0.7626023611868632,0.5574542929202626,0.7542563497841304,11.0
leiden_1.3,0.8135683760683761,0.8719571928325115,0.9090909090909091,0.8409190417531672,0.8277968853137267,0.8442619891770853,0.9119141624625283,0.7634132117407249,0.5586390991236634,0.7549642644967325,11.0
leiden_1.4,0.8034188034188035,0.8668798066474773,0.8461538461538461,0.827410712061987,0.8253600823045267,0.8216706607326258,0.9067595232872706,0.7507678905452435,0.5409950892978351,0.7423081972952864,13.0
leiden_1.5,0.7841880341880342,0.8575458326822942,0.8333333333333334,0.8206321900772146,0.8117679406912492,0.8453863679513955,0.9359691452803978,0.7384938877471785,0.5173846284693794,0.7171376252199202,12.0
leiden_1.6,0.8114316239316239,0.870727804729472,0.9166666666666666,0.8401858188124255,0.8252110087074882,0.8460277002080328,0.905900416758061,0.7595833764314547,0.5533463249705538,0.7520607946619322,12.0
leiden_1.7,0.8082264957264957,0.8724868737097705,0.8461538461538461,0.8229380208218515,0.8332660507724554,0.8444902579028215,0.9024639906412224,0.7595935235326234,0.5837388047358492,0.7521318092495441,13.0
leiden_1.8,0.8151709401709402,0.87685667707904,0.8461538461538461,0.8302520520938907,0.8387686070220515,0.8451998315341476,0.9033230971704321,0.7675319071028147,0.5919234378996896,0.7606720125570042,13.0
leiden_1.9,0.8082264957264957,0.8718960495703842,0.8461538461538461,0.8229512373447645,0.8319730359983322,0.8459440455924803,0.9033230971704321,0.759568910331694,0.5844384160466031,0.7520914864632069,13.0
leiden_2.0,0.8076923076923077,0.8738662278716943,0.8461538461538461,0.8228986471969278,0.8428327645051195,0.8459440455924803,0.9139613950427725,0.7588212498272732,0.583775614139219,0.7514395350998713,14.0
leiden_2.1,0.8076923076923077,0.8738662278716943,0.8461538461538461,0.8228986471969278,0.8428327645051195,0.8459440455924803,0.9139613950427725,0.7588212498272732,0.583775614139219,0.7514395350998713,14.0
leiden_2.2,0.7975427350427351,0.8697398526352736,0.8,0.8049127844392148,0.8308943089430895,0.7901715081323967,0.938016377860642,0.7516385053549784,0.5695367162034689,0.739423040901909,16.0
leiden_2.3,0.8060897435897436,0.8727436213236923,0.8125,0.8253917866834556,0.8453943756959801,0.8320394630438299,0.9119141624625283,0.757970104203781,0.5738415139555176,0.7491141929602847,17.0
leiden_2.4,0.8007478632478633,0.870663118380087,0.7777777777777778,0.8121978040268844,0.8474169632848911,0.8046097777194077,0.9273780799883016,0.7553298519901253,0.5698093821436188,0.7431097343374624,18.0
leiden_2.5,0.7996794871794872,0.8698578425599571,0.7368421052631579,0.8225407693680821,0.841441206105161,0.8065495836295318,0.93081450610514,0.7540213366092001,0.5599334718377478,0.7406561399658864,19.0
